Activity_Type,Date,Title,Race,Distance,Calories,Time,Avg_HR,Max_HR,Avg_Run_Cadence,Max_Run_Cadence,Avg_Pace,Best_Pace,Total_Ascent,Total_Descent,Avg_Stride_Length,Best_Lap_Time,Moving_Time,Min_Elevation,Max_Elevation,7_More_Hours_Sleep
Running,12/27/21 11:04,Henrico County Running,No,4.04,373,00:35:38,160,173,153,249,08:49,07:28,20,--,1.2,00:25.7,00:35:31,217,244,Yes
Treadmill Running,12/28/21 14:07,Treadmill Running,No,3.65,318,00:30:37,150,168,146,157,08:23,08:44,--,--,1.12,00:54.8,00:29:37,--,--,Yes
Treadmill Running,12/28/21 14:41,Treadmill Running,No,3.63,364,00:31:48,163,171,142,159,08:45,06:55,--,--,1.29,05:31.4,00:29:55,--,--,Yes
Running,12/30/21 16:10,Henrico County Running,No,3.21,322,00:29:04,159,174,147,227,09:03,07:20,7,7,1.21,01:46.8,00:28:58,219,233,Yes
Treadmill Running,12/30/21 19:20,Treadmill Running,No,1.18,105,00:10:01,150,165,148,157,08:29,07:42,--,--,1.29,01:29.2,00:10:01,--,--,Yes
Running,12/31/21 20:06,Henrico County Running,No,4.11,410,00:37:54,158,176,146,243,09:14,07:13,7,--,1.2,00:54.9,00:37:47,112,131,Yes
Running,1/1/22 13:33,First Run of 2022,No,3.29,170,00:26:48,151,171,142,244,08:09,07:44,--,--,1.25,07:25.1,00:16:06,114,123,No
Running,1/2/22 12:29,Henrico County Running,No,3.37,343,00:31:15,157,173,148,230,09:16,07:49,20,23,1.17,00:04.3,00:31:04,112,131,Yes
Treadmill Running,1/2/22 14:20,Treadmill Running,No,4.65,401,00:36:30,154,167,150,159,07:50,07:21,--,--,1.37,04:58.7,00:36:10,--,--,Yes
Treadmill Running,1/6/22 20:00,Treadmill Running,No,3.52,345,00:31:15,157,170,140,159,08:53,07:20,--,--,1.29,04:45.2,00:29:16,--,--,Yes
Treadmill Running,1/6/22 20:57,Treadmill Running,No,1.31,118,00:10:01,163,174,153,161,07:38,07:10,--,--,1.38,02:19.1,00:10:00,--,--,Yes
Treadmill Running,1/8/22 12:43,Treadmill Running,No,8.01,752,01:01:51,169,178,153,162,07:43,07:05,--,--,1.36,00:05.0,01:01:34,--,--,Yes
Treadmill Running,1/9/22 11:22,Treadmill Running,No,4.31,380,00:33:37,157,165,154,161,07:49,07:19,--,--,1.34,02:20.8,00:33:29,--,--,Yes
Treadmill Running,1/12/22 20:28,Treadmill Running,No,4.02,385,00:32:28,164,172,150,162,08:05,07:26,--,--,1.33,00:08.5,00:32:18,--,--,Yes
Running,1/16/22 08:02,Tempe Running,Yes,13.16,"1,415",01:55:46,175,189,156,249,08:48,07:13,220,223,1.17,01:12.9,01:55:39,"1,172","1,342",Yes
Treadmill Running,1/22/22 11:39,Treadmill Running,No,7.1,710,01:01:00,168,177,145,231,08:35,07:14,--,--,1.29,00:46.3,00:58:57,--,--,Yes
Treadmill Running,1/23/22 12:33,Treadmill Running,No,5.01,493,00:43:20,163,184,151,163,08:39,07:14,--,--,1.23,00:02.8,00:42:45,--,--,Yes
Running,1/23/22 14:44,Henrico County Running,No,3.28,292,00:32:39,145,176,142,224,09:57,07:56,13,7,1.14,02:53.4,00:32:38,114,130,Yes
